YEAR,MO,DY,T2M,T2MDEW,QV2M,RH2M,PRECTOTCORR,PS,WS10M
1981,4,20,20.58,18.13,13.12,86.06,14.0,99.54,4.08
1981,4,21,23.4,17.24,12.45,71.0,0.17,99.32,2.25
1981,4,22,24.65,18.8,13.73,71.5,2.05,99.27,2.5
1981,4,23,25.64,19.92,14.77,72.38,2.81,99.33,2.65
1981,4,24,25.69,22.02,16.78,81.12,8.46,99.44,2.61
1981,4,25,25.58,20.58,15.32,75.5,0.0,99.53,2.15
1981,4,26,26.21,19.57,14.4,69.06,0.02,99.42,2.41
1981,4,27,25.01,19.29,14.16,71.75,0.75,99.51,2.37
1981,4,28,23.79,19.66,14.47,78.5,4.97,99.49,1.94
1981,4,29,25.53,20.45,15.26,74.88,1.52,99.26,2.45
1981,4,30,27.06,20.58,15.38,69.44,1.53,99.3,1.98
1981,5,1,27.58,20.96,15.69,68.69,0.5,99.35,2.36
1981,5,2,26.89,20.0,14.77,68.12,1.58,99.4,2.81
1981,5,3,26.64,20.36,15.14,70.5,19.36,99.38,2.09
1981,5,4,27.34,20.76,15.56,69.38,0.15,99.31,2.21
1981,5,5,27.84,20.97,15.81,67.88,0.35,99.29,1.85
1981,5,6,26.71,22.19,16.97,77.31,1.11,99.27,2.2
1981,5,7,27.37,21.12,15.87,70.31,0.4,99.23,2.46
1981,5,8,28.12,20.71,15.56,66.0,0.09,99.09,2.35
1981,5,9,26.11,21.48,16.24,76.62,2.25,98.99,3.46
1981,5,10,26.6,22.23,17.09,78.12,11.14,98.82,2.73
1981,5,11,26.65,22.45,17.27,78.56,4.37,98.82,2.69
1981,5,12,27.4,22.15,17.03,74.81,0.01,98.66,3.52
1981,5,13,27.51,22.29,17.15,74.31,30.92,98.65,2.76
1981,5,14,27.5,22.59,17.46,76.0,0.38,98.84,2.46
1981,5,15,28.52,22.65,17.58,71.75,4.31,98.68,1.23
1981,5,16,28.08,23.15,18.13,75.56,15.36,98.63,2.59
1981,5,17,27.54,23.6,18.62,79.81,17.07,98.68,2.95
1981,5,18,26.65,21.8,16.6,75.75,6.98,98.92,4.13
1981,5,19,28.12,21.23,16.11,68.75,0.1,98.67,2.37
1981,5,20,29.55,22.05,16.97,66.25,0.02,98.62,2.2
1981,5,21,28.33,23.3,18.25,75.06,0.18,98.82,2.72
1981,5,22,28.73,23.29,18.19,74.06,12.36,98.92,1.86
1981,5,23,28.36,23.29,18.25,75.38,12.13,98.76,2.11
1981,5,24,29.11,23.86,18.92,74.56,4.13,98.68,2.33
1981,5,25,28.17,22.97,17.88,75.0,3.46,98.93,2.05
1981,5,26,28.64,22.58,17.46,71.25,5.27,99.01,1.98
1981,5,27,28.7,23.26,18.19,73.31,20.82,98.92,1.95
1981,5,28,28.19,24.0,19.1,78.94,30.12,98.66,2.64
1981,5,29,27.74,25.05,20.32,85.81,26.45,98.7,4.52
1981,5,30,27.2,24.43,19.53,85.38,11.04,98.77,2.54
1981,5,31,26.23,22.4,17.27,80.25,8.49,98.94,4.58
1981,6,1,27.24,23.32,18.31,79.88,0.21,98.8,3.26
1981,6,2,27.67,23.87,18.92,80.75,2.88,98.61,2.79
1981,6,3,29.42,25.01,20.32,78.5,3.73,98.29,3.0
1981,6,4,29.55,25.05,20.39,78.25,3.67,98.2,3.62
1981,6,5,29.29,25.01,20.32,79.06,5.06,98.29,3.66
1981,6,6,29.14,24.56,19.78,77.69,10.11,98.42,2.88
1981,6,7,28.48,22.66,17.58,72.38,6.39,98.62,2.78
1981,6,8,28.71,22.92,17.88,72.44,0.75,98.61,2.83
1981,6,9,28.92,23.05,18.01,72.31,3.01,98.68,1.82
1981,6,10,29.12,24.12,19.23,75.62,0.03,98.57,2.38
1981,6,11,30.12,24.48,19.65,73.38,0.12,98.42,2.49
1981,6,12,30.7,24.87,20.2,72.94,0.42,98.22,3.04
1981,6,13,30.49,25.29,20.75,74.5,4.45,98.07,1.73
1981,6,14,30.15,25.41,20.87,76.44,8.99,98.16,1.74
1981,6,15,29.3,24.72,19.96,77.06,3.46,98.32,2.29
1981,6,16,28.73,25.39,20.75,82.62,9.89,98.39,1.29
1981,6,17,28.14,25.32,20.69,85.38,8.96,98.41,2.21
1981,6,18,28.46,24.98,20.26,82.31,0.53,98.51,2.4
1981,6,19,29.9,25.7,21.24,79.12,1.7,98.34,1.82
1981,6,20,29.42,25.7,21.24,81.25,14.41,98.18,3.0
1981,6,21,29.32,25.61,21.06,81.44,8.22,98.29,1.34
1981,6,22,28.82,24.87,20.14,79.94,6.38,98.49,1.64
1981,6,23,29.23,25.12,20.39,79.5,2.28,98.55,3.57
1981,6,24,29.3,25.03,20.26,79.12,8.08,98.64,3.3
1981,6,25,29.23,25.8,21.24,82.44,21.33,98.69,3.09
1981,6,26,29.01,25.15,20.45,80.69,10.03,98.58,3.43
1981,6,27,27.65,25.08,20.32,86.25,11.52,98.66,3.91
1981,6,28,27.19,24.76,19.9,87.06,15.01,98.83,3.41
1981,6,29,28.76,25.19,20.51,82.06,18.68,98.64,3.16
1981,6,30,28.01,25.36,20.75,86.0,12.97,98.35,2.85
1981,7,1,28.44,25.08,20.51,82.62,18.99,98.09,2.58
1981,7,2,27.97,25.74,21.24,88.19,48.79,98.19,2.3
1981,7,3,28.04,25.76,21.24,88.06,43.6,98.38,3.18
1981,7,4,28.59,24.96,20.26,81.69,45.33,98.42,1.8
1981,7,5,29.05,26.01,21.55,84.44,6.47,98.37,3.55
1981,7,6,30.19,26.44,22.16,81.25,2.18,98.35,3.08
1981,7,7,27.64,25.55,20.94,88.69,4.59,98.51,2.73
1981,7,8,29.22,25.83,21.3,82.81,9.1,98.56,2.88
1981,7,9,29.11,25.57,21.0,81.81,5.25,98.53,2.33
1981,7,10,29.27,25.93,21.48,82.88,7.78,98.38,2.52
1981,7,11,29.3,26.09,21.67,83.62,8.13,98.36,1.82
1981,7,12,28.74,25.74,21.18,84.5,1.56,98.5,2.33
1981,7,13,28.73,25.52,20.94,83.62,11.34,98.58,2.48
1981,7,14,27.91,25.66,21.12,87.94,62.47,98.53,2.41
1981,7,15,27.82,25.8,21.24,89.25,78.26,98.58,2.43
1981,7,16,27.82,25.35,20.69,86.94,31.39,98.64,1.46
1981,7,17,27.52,24.66,19.84,85.19,29.07,98.76,0.96
1981,7,18,27.23,24.26,19.35,84.56,16.33,98.67,1.62
1981,7,19,28.65,24.76,19.96,80.62,4.53,98.57,1.36
1981,7,20,29.29,25.03,20.32,78.69,0.25,98.55,1.42
1981,7,21,29.87,25.83,21.3,79.88,11.08,98.58,2.01
1981,7,22,28.88,25.75,21.24,83.62,1.89,98.58,2.47
1981,7,23,27.18,24.93,20.14,87.75,4.06,98.7,1.97
1981,7,24,28.51,25.26,20.57,83.38,3.45,98.67,2.86
1981,7,25,28.25,25.94,21.42,88.0,4.69,98.67,3.69
1981,7,26,28.55,26.23,21.79,87.81,11.93,98.7,4.02
1981,7,27,27.87,26.06,21.55,90.25,8.57,98.74,2.93
1981,7,28,28.31,25.51,20.87,85.69,0.83,98.73,4.18
1981,7,29,28.52,25.91,21.36,86.62,1.99,98.65,3.79
1981,7,30,28.24,26.44,22.09,90.38,9.8,98.47,2.84
1981,7,31,27.54,25.35,20.69,88.38,2.08,98.42,2.47
1981,8,1,27.36,25.29,20.63,88.81,14.73,98.43,2.38
1981,8,2,27.25,24.92,20.14,87.44,8.07,98.73,1.93
1981,8,3,28.01,25.3,20.57,85.5,11.62,98.8,1.68
1981,8,4,28.38,25.34,20.69,83.94,6.79,98.59,2.53
1981,8,5,29.07,25.35,20.75,81.0,0.17,98.36,1.7
1981,8,6,29.65,26.37,22.09,83.38,2.1,98.26,1.87
1981,8,7,29.13,26.26,21.91,84.81,1.94,98.44,2.7
1981,8,8,29.5,25.62,21.06,80.38,1.77,98.68,2.32
1981,8,9,27.66,25.57,20.94,88.69,1.9,98.7,2.49
1981,8,10,28.37,25.73,21.18,86.5,2.68,98.53,3.39
1981,8,11,29.41,26.48,22.22,85.0,8.52,98.33,2.01
1981,8,12,28.47,25.87,21.42,86.31,2.91,98.18,2.77
1981,8,13,28.41,25.5,21.0,84.5,13.03,98.24,3.42
1981,8,14,27.95,26.0,21.55,89.38,7.86,98.49,3.12
1981,8,15,27.78,25.63,21.0,88.5,5.91,98.66,2.87
1981,8,16,28.36,25.05,20.26,83.19,0.12,98.7,3.55
1981,8,17,28.31,25.29,20.63,84.5,2.74,98.56,3.4
1981,8,18,28.61,25.69,21.12,84.88,6.21,98.42,2.71
1981,8,19,29.61,26.12,21.73,82.69,11.16,98.28,1.98
1981,8,20,29.62,25.9,21.48,81.81,18.79,98.37,1.48
1981,8,21,29.22,26.14,21.79,84.56,16.22,98.27,2.59
1981,8,22,29.22,25.51,20.94,81.5,13.12,98.29,1.48
1981,8,23,28.36,25.94,21.42,87.31,39.09,98.52,2.0
1981,8,24,28.01,25.45,20.81,86.62,25.62,98.58,2.94
1981,8,25,28.79,25.89,21.36,85.12,3.79,98.58,3.02
1981,8,26,28.95,25.66,21.06,83.38,1.38,98.71,1.88
1981,8,27,28.47,25.65,21.06,85.38,0.26,98.63,2.11
1981,8,28,28.28,25.3,20.63,84.56,6.17,98.44,2.49
1981,8,29,27.93,25.7,21.18,88.0,2.3,98.46,2.66
1981,8,30,28.19,25.53,20.94,86.25,1.83,98.59,3.75
1981,8,31,28.29,25.47,20.81,85.31,0.81,98.64,2.5
1981,9,1,29.04,25.85,21.3,83.56,2.27,98.66,1.98
1981,9,2,28.27,26.21,21.73,89.0,14.02,98.76,2.76
1981,9,3,27.47,25.79,21.18,90.81,7.09,98.78,2.99
1981,9,4,27.6,25.01,20.26,86.38,3.66,98.78,1.59
1981,9,5,27.0,25.41,20.69,91.19,1.01,98.86,2.1
1981,9,6,26.74,25.35,20.63,92.19,18.47,98.98,2.23
1981,9,7,27.88,24.8,19.96,84.06,16.03,98.94,1.51
1981,9,8,26.73,24.65,19.71,88.81,44.19,99.13,1.77
1981,9,9,27.37,24.11,19.1,83.19,39.95,99.17,1.3
1981,9,10,26.7,24.83,19.9,89.88,52.72,99.19,3.24
1981,9,11,26.8,24.76,19.9,89.12,7.25,99.08,2.54
1981,9,12,27.14,25.01,20.14,88.69,2.45,99.1,2.81
1981,9,13,26.85,23.91,18.8,84.44,0.78,99.31,1.7
1981,9,14,26.27,23.69,18.55,86.06,17.9,99.41,1.42
1981,9,15,26.21,23.57,18.43,85.88,7.37,99.41,1.98
1981,9,16,27.05,22.82,17.64,78.94,1.72,99.44,1.38
1981,9,17,26.51,23.25,18.07,83.12,3.04,99.45,1.51
1981,9,18,26.8,23.06,17.88,81.19,0.05,99.3,1.84
1981,9,19,26.68,22.99,17.88,81.06,0.03,99.16,1.88
1981,9,20,26.68,22.87,17.7,80.5,7.78,99.24,1.71
1981,9,21,26.99,22.44,17.27,77.25,1.82,99.18,1.68
1981,9,22,27.61,23.67,18.62,79.88,2.0,99.0,1.82
1981,9,23,28.37,24.62,19.78,81.06,0.14,98.8,1.64
1981,9,24,28.46,24.85,20.08,81.62,0.0,98.84,3.64
1981,9,25,28.49,24.36,19.47,78.94,0.0,99.08,3.24
1981,9,26,28.63,24.74,19.84,80.56,0.97,99.32,2.32
1981,9,27,26.75,23.76,18.68,84.56,0.14,99.28,3.28
1981,9,28,25.65,23.46,18.37,88.19,2.48,99.08,2.02
1981,9,29,26.69,24.58,19.65,88.62,2.05,98.99,2.92
1981,9,30,26.73,24.83,19.96,89.81,4.64,98.91,3.1
1981,10,1,26.46,24.35,19.41,88.88,3.38,98.81,3.11
1981,10,2,25.76,23.48,18.43,87.94,0.87,98.89,3.31
1981,10,3,25.25,22.3,17.09,84.75,0.35,99.02,2.17
1981,10,4,25.58,22.38,17.21,83.5,1.69,99.04,1.67
1981,10,5,25.76,22.58,17.4,83.75,0.0,99.01,1.79
1981,10,6,25.65,22.21,17.09,82.12,0.39,98.94,2.25
1981,10,7,24.54,20.86,15.69,81.19,1.88,99.06,2.72
1981,10,8,24.52,20.01,14.83,77.62,0.02,99.27,1.95
1981,10,9,25.53,20.87,15.62,76.94,0.06,99.33,1.81
1981,10,10,25.14,20.97,15.75,78.81,0.0,99.16,2.51
1981,10,11,24.82,20.6,15.38,78.88,0.27,99.3,1.88
1981,10,12,25.33,21.55,16.3,80.69,0.18,99.54,2.0
1981,10,13,25.4,21.9,16.6,82.25,0.0,99.65,2.62
1981,10,14,25.34,22.04,16.85,82.81,0.34,99.48,2.66
1981,10,15,25.78,21.97,16.72,80.69,0.1,99.43,1.88
1981,10,16,24.85,21.48,16.24,82.56,0.0,99.29,2.12
1981,10,17,24.94,20.83,15.62,79.12,0.05,99.19,1.97
1981,10,18,25.37,21.08,15.93,78.19,0.65,99.16,1.87
1981,10,19,25.32,20.7,15.5,76.5,0.0,99.28,1.76
1981,10,20,24.48,19.99,14.83,77.12,0.0,99.38,1.91
1981,10,21,23.48,20.21,15.01,82.62,0.0,99.34,1.95
1981,10,22,23.34,20.62,15.32,85.5,0.08,99.49,1.95
1981,10,23,23.9,20.96,15.69,84.88,0.29,99.64,1.8
1981,10,24,23.97,20.83,15.5,83.81,0.0,99.75,1.77
1981,10,25,23.83,20.48,15.2,82.44,0.0,99.83,2.55
1981,10,26,23.44,19.43,14.28,79.38,0.01,99.72,2.2
1981,10,27,23.31,19.24,14.1,79.06,0.07,99.6,2.51
1981,10,28,22.59,19.52,14.28,83.94,0.0,99.78,1.85
1981,10,29,22.11,18.86,13.73,83.19,0.0,99.66,2.05
1981,10,30,21.73,18.01,13.06,80.88,0.06,99.43,2.15
1981,10,31,22.07,17.73,12.82,77.62,0.19,99.41,1.84
1981,11,1,21.84,18.21,13.18,81.31,0.0,99.49,2.22
1981,11,2,21.9,18.28,13.31,81.19,0.02,99.36,2.31
1981,11,3,22.48,18.7,13.67,80.44,0.31,99.31,1.98
1981,11,4,22.5,19.05,13.98,81.94,0.01,99.28,2.07
1981,11,5,22.28,19.15,14.04,83.25,0.37,99.32,2.64
1981,11,6,20.8,16.92,12.21,79.94,0.01,99.65,2.65
1981,11,7,21.23,16.61,11.96,76.5,0.15,99.66,3.02
1981,11,8,21.76,16.65,12.02,73.69,0.0,99.53,2.98
1981,11,9,21.54,16.44,11.9,73.75,0.0,99.6,4.16
1981,11,10,21.36,17.58,12.63,80.06,0.0,99.72,4.62
1981,11,11,20.89,17.11,12.27,79.94,0.22,99.77,3.8
1981,11,12,20.79,17.09,12.27,80.62,0.04,99.79,3.26
1981,11,13,20.55,16.42,11.78,79.06,0.04,99.9,3.45
1981,11,14,20.69,16.34,11.72,77.75,0.09,99.83,2.45
1981,11,15,20.2,16.49,11.84,80.62,0.0,99.8,2.26
1981,11,16,20.47,14.7,10.62,71.06,0.0,99.79,2.38
1981,11,17,19.63,13.69,9.95,70.06,0.0,99.76,3.18
1981,11,18,18.79,13.26,9.64,72.12,0.0,99.71,3.44
1981,11,19,19.42,14.83,10.62,76.56,0.0,99.64,3.42
1981,11,20,20.34,15.82,11.35,77.38,0.06,99.57,3.55
1981,11,21,20.42,15.33,11.05,74.5,0.04,99.52,3.12
1981,11,22,20.53,15.51,11.23,74.38,0.01,99.49,2.55
1981,11,23,20.24,15.94,11.54,77.44,0.01,99.5,2.53
1981,11,24,19.9,15.72,11.35,77.88,0.0,99.53,2.67
1981,11,25,20.02,15.73,11.29,77.5,0.0,99.42,2.34
1981,11,26,19.54,15.39,11.05,78.19,0.0,99.63,2.62
1981,11,27,19.55,15.25,10.93,77.75,0.0,99.85,3.05
1981,11,28,18.98,14.76,10.62,78.25,0.0,99.83,2.77
1981,11,29,18.38,13.88,10.01,76.5,0.0,99.9,3.44
1981,11,30,18.11,13.37,9.64,76.0,0.0,100.1,3.63
1981,12,1,18.32,13.35,9.64,74.44,0.0,100.15,3.63
1981,12,2,19.13,14.75,10.56,77.56,0.0,100.17,3.08
1981,12,3,19.44,15.8,11.29,81.12,0.0,100.11,2.73
1981,12,4,19.19,15.63,11.17,81.12,1.02,99.97,2.16
1981,12,5,18.42,14.71,10.5,80.25,0.08,99.97,2.38
1981,12,6,18.69,15.32,10.93,81.88,0.0,100.08,2.68
1981,12,7,18.86,14.58,10.44,78.31,0.0,99.98,3.69
1981,12,8,18.44,14.04,10.07,77.12,0.0,99.88,2.89
1981,12,9,19.48,14.47,10.38,74.31,0.0,100.04,3.03
1981,12,10,18.97,14.74,10.56,77.88,8.31,100.17,3.38
1981,12,11,16.74,14.92,10.62,89.25,43.31,100.08,3.59
1981,12,12,17.34,14.21,10.13,82.69,2.71,100.08,1.77
1981,12,13,16.54,13.3,9.58,82.44,7.52,100.23,2.59
1981,12,14,16.75,13.33,9.58,81.38,0.01,100.09,2.59
1981,12,15,16.9,13.2,9.52,80.31,0.0,99.98,2.18
1981,12,16,16.15,11.65,8.61,76.31,0.03,100.09,1.77
1981,12,17,15.14,11.32,8.42,79.44,0.07,100.16,2.44
1981,12,18,15.39,12.29,8.91,83.06,0.07,100.22,2.79
1981,12,19,15.67,11.21,8.36,76.12,0.0,100.28,1.77
1981,12,20,15.0,11.46,8.48,80.44,0.0,100.28,2.41
1981,12,21,15.24,11.62,8.54,80.81,0.0,100.23,2.06
1981,12,22,15.34,11.05,8.24,77.62,0.0,100.36,2.05
1981,12,23,15.21,11.55,8.54,80.62,0.27,100.23,2.99
1981,12,24,15.23,11.23,8.36,78.75,0.03,100.1,2.44
1981,12,25,15.15,10.98,8.18,78.12,0.09,100.09,1.94
1981,12,26,15.08,11.01,8.24,78.06,0.0,100.08,2.25
1981,12,27,15.06,10.91,8.18,77.56,0.0,100.05,2.1
1981,12,28,15.19,11.55,8.54,80.44,0.0,99.83,2.23
1981,12,29,15.25,11.9,8.73,81.62,0.0,99.79,2.27
1981,12,30,15.09,11.76,8.67,81.25,0.0,99.92,2.31
1981,12,31,15.39,11.89,8.73,80.75,0.0,100.01,1.96
1982,1,1,15.69,12.3,8.97,81.25,0.0,99.88,2.04
1982,1,2,15.51,12.23,8.97,81.56,0.0,99.75,2.12
1982,1,3,15.53,11.76,8.67,79.94,0.0,99.81,2.05
1982,1,4,16.08,12.83,9.28,82.5,0.37,99.92,2.94
1982,1,5,16.63,13.14,9.46,81.5,0.22,99.86,2.26
1982,1,6,17.01,13.26,9.58,80.38,0.0,99.93,2.37
1982,1,7,17.02,13.58,9.77,81.56,0.0,100.08,2.7
1982,1,8,17.47,13.8,9.89,80.31,0.0,100.12,2.22
1982,1,9,17.69,13.48,9.7,78.06,0.0,99.93,2.16
1982,1,10,16.85,13.33,9.64,81.44,0.0,99.78,2.06
1982,1,11,16.72,12.3,8.97,77.19,0.0,99.75,2.45
1982,1,12,17.11,12.3,9.03,75.12,0.49,99.86,2.1
1982,1,13,15.92,12.04,8.79,79.56,0.0,99.95,2.41
1982,1,14,15.95,11.44,8.48,76.88,0.0,99.85,2.3
1982,1,15,16.58,11.39,8.48,73.69,0.0,99.79,2.26
1982,1,16,16.51,10.56,8.0,69.5,0.0,99.86,2.0
1982,1,17,16.58,11.17,8.36,72.25,0.0,99.87,2.25
1982,1,18,16.71,11.24,8.36,72.38,0.0,99.98,2.75
1982,1,19,16.66,11.54,8.54,73.75,0.0,99.91,2.19
1982,1,20,16.25,11.52,8.54,75.62,0.0,99.88,2.31
1982,1,21,15.88,11.42,8.48,77.06,0.57,100.01,2.17
1982,1,22,15.69,10.81,8.12,75.31,0.0,99.89,2.42
1982,1,23,15.71,10.48,7.93,73.81,0.0,99.99,2.73
1982,1,24,16.17,10.98,8.24,73.88,0.0,100.21,2.8
1982,1,25,16.52,11.42,8.42,74.56,0.0,100.4,3.18
1982,1,26,17.54,11.2,8.3,69.06,0.0,100.33,3.7
1982,1,27,17.9,10.76,8.12,66.12,0.0,100.12,3.0
1982,1,28,17.8,10.45,7.93,64.62,0.0,99.95,2.46
1982,1,29,17.22,10.12,7.81,65.06,0.0,100.03,2.16
1982,1,30,15.9,9.8,7.57,69.19,0.0,100.16,2.37
1982,1,31,16.93,11.04,8.24,70.44,0.21,100.12,2.68
1982,2,1,15.58,10.65,8.06,73.12,1.56,100.04,2.44
1982,2,2,16.16,10.43,7.93,70.19,0.09,99.74,2.41
1982,2,3,16.16,11.45,8.48,75.69,1.84,99.89,2.06
1982,2,4,16.76,10.94,8.18,70.94,0.05,99.8,2.06
1982,2,5,16.08,10.52,8.0,71.75,1.32,99.67,2.86
1982,2,6,15.86,9.09,7.26,66.62,2.31,99.53,3.17
1982,2,7,15.2,8.23,6.84,65.75,1.7,99.66,2.31
1982,2,8,14.73,8.54,7.02,68.94,0.66,99.58,3.27
1982,2,9,14.77,8.3,6.9,68.06,1.46,99.67,2.66
1982,2,10,15.07,9.25,7.32,71.25,0.0,99.9,3.91
1982,2,11,15.92,9.64,7.51,69.38,0.0,99.67,3.12
1982,2,12,16.7,10.08,7.75,67.31,0.0,99.61,2.64
1982,2,13,17.77,11.18,8.36,67.69,0.0,99.64,2.88
1982,2,14,18.21,11.99,8.79,69.56,0.0,99.59,2.63
1982,2,15,17.45,11.05,8.3,68.81,0.0,99.68,3.41
1982,2,16,17.58,11.91,8.79,71.88,0.0,99.74,2.69
1982,2,17,18.63,11.28,8.42,64.56,0.22,99.53,3.23
1982,2,18,19.48,12.62,9.22,66.19,0.17,99.37,3.7
1982,2,19,19.57,11.44,8.54,61.88,0.42,99.42,3.75
1982,2,20,18.09,8.83,7.14,57.94,0.08,99.84,2.76
1982,2,21,17.55,8.65,7.08,59.19,0.48,99.79,3.01
1982,2,22,17.91,9.15,7.32,59.44,0.0,99.65,3.1
1982,2,23,18.22,10.07,7.75,61.94,0.0,99.72,3.16
1982,2,24,18.1,8.94,7.2,58.44,0.0,99.56,2.84
1982,2,25,18.08,8.6,7.02,57.75,0.0,99.63,2.89
1982,2,26,18.19,8.64,7.08,57.56,0.0,99.67,2.75
1982,2,27,19.12,9.26,7.39,56.5,0.0,99.67,2.67
1982,2,28,19.94,9.98,7.75,56.0,0.0,99.62,2.48
1982,3,1,19.65,11.4,8.48,61.88,0.11,99.65,2.7
1982,3,2,19.64,13.33,9.64,69.5,3.53,99.88,2.55
1982,3,3,18.46,13.34,9.64,74.94,0.0,99.8,3.02
1982,3,4,18.22,10.6,8.06,64.69,0.05,99.55,3.91
